"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"iaLPSS2i_GPIO2","Драйвер версии 2 Intel(R) Serial IO GPIO","Драйвер версии 2 Intel(R) Serial IO GPIO","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","45 056","0","19.04.2018 10:53:24","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2.sys","4 096"
"iaLPSS2i_GPIO2_BXT_P","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","57 344","0","17.04.2018 12:25:15","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","4 096"
"iaLPSS2i_GPIO2_CNL","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","73 728","0","17.04.2018 10:07:03","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","4 096"
"iaLPSS2i_GPIO2_GLK","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","57 344","0","16.05.2018 8:46:36","C:\WINDOWS\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","4 096"
"iaLPSS2i_I2C","Драйвер версии 2 Intel(R) Serial IO I2C","Драйвер версии 2 Intel(R) Serial IO I2C","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","118 784","0","19.04.2018 10:52:58","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C.sys","4 096"
"iaLPSS2i_I2C_BXT_P","Драйвер версии 2 I2C для операций последовательного ввода-вывода Intel(R)","Драйвер версии 2 I2C для операций последовательного ввода-вывода Intel(R)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","122 880","0","17.04.2018 12:24:40","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","4 096"
"iaLPSS2i_I2C_CNL","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","126 976","0","15.07.2019 8:12:12","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_CNL.sys","4 096"
"iaLPSS2i_I2C_GLK","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Драйвер версии 2 интерфейса ввода-вывода общего назначения для операций последовательного ввода-вывода Intel(R)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","126 976","0","16.05.2018 8:46:02","C:\WINDOWS\system32\drivers\iaLPSS2i_I2C_GLK.sys","4 096"
"iaLPSS2_GPIO2_ADL","Intel(R) Serial IO GPIO Driver v2","Intel(R) Serial IO GPIO Driver v2","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","77 824","0","06.09.2022 6:10:36","C:\WINDOWS\system32\DriverStore\FileRepository\ialpss2_gpio2_adl.inf_amd64_302e75596cffa74a\iaLPSS2_GPIO2_ADL.sys","4 096"
"iaLPSS2_I2C_ADL","Intel(R) Serial IO I2C Driver v2","Intel(R) Serial IO I2C Driver v2","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","139 264","0","06.09.2022 6:10:00","C:\WINDOWS\system32\DriverStore\FileRepository\ialpss2_i2c_adl.inf_amd64_e736c048ca307ed2\iaLPSS2_I2C_ADL.sys","4 096"
"iaLPSSi_GPIO","Драйвер контроллера Intel(R) Serial IO GPIO","Драйвер контроллера Intel(R) Serial IO GPIO","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","02.02.2015 12:00:09","C:\WINDOWS\system32\drivers\iaLPSSi_GPIO.sys","4 096"
"iaLPSSi_I2C","Драйвер Intel(R) Serial IO I2C Controller","Драйвер Intel(R) Serial IO I2C Controller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","90 112","0","24.02.2015 18:52:07","C:\WINDOWS\system32\drivers\iaLPSSi_I2C.sys","4 096"
"iaStorAVC","RAID-контроллер SATA для набора микросхем Intel","RAID-контроллер SATA для набора микросхем Intel","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","786 432","0","05.09.2019 15:07:32","C:\WINDOWS\system32\drivers\iaStorAVC.sys","4 096"
"iaStorV","RAID-контроллер Intel для Windows 7","RAID-контроллер Intel для Windows 7","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","364 544","0","11.04.2011 21:48:16","C:\WINDOWS\system32\drivers\iaStorV.sys","8 192"
"ibbus","Mellanox InfiniBand Bus/AL (Filter Driver)","Mellanox InfiniBand Bus/AL (Filter Driver)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","499 712","0","19.06.2019 16:20:09","C:\WINDOWS\system32\drivers\ibbus.sys","8 192"
"ibtusb","Intel(R) Wireless Bluetooth(R)","Intel(R) Wireless Bluetooth(R)","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","552 960","0","23.09.2022 11:17:52","C:\WINDOWS\system32\DriverStore\FileRepository\ibtusb.inf_amd64_6c8d28bf97b39b35\ibtusb.sys","8 192"
"igfxn","igfxn","igfxn","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","9 605 120","0","04.10.2022 5:10:56","C:\WINDOWS\system32\DriverStore\FileRepository\iigd_dch.inf_amd64_894303f2f659da5c\igdkmdn64.sys","8 192"
"IndirectKmd","Драйвер режима ядра непрямых дисплеев","Драйвер режима ядра непрямых дисплеев","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32 768","20 480","0","","C:\WINDOWS\system32\drivers\IndirectKmd.sys","4 096"
"IntcAudioBus","IntelR Smart Sound Technology BUS","IntelR Smart Sound Technology BUS","Kernel ","Manual","Running","OK","TRUE","FALSE","77 824","188 416","0","30.05.2022 20:02:37","C:\WINDOWS\system32\DriverStore\FileRepository\intcaudiobus.inf_amd64_f391fa5ae776e58c\IntcAudioBus.sys","4 096"
"IntcAzAudAddService","Service for Realtek HD Audio (WDM)","Service for Realtek HD Audio (WDM)","Kernel ","Manual","Running","OK","TRUE","FALSE","4 177 920","1 265 664","0","26.04.2022 12:32:20","C:\WINDOWS\system32\drivers\RTKVHD64.sys","8 192"
"IntcBTAu","Технология IntelR Smart Sound для аудио BluetoothR","Технология IntelR Smart Sound для аудио BluetoothR","Kernel ","Manual","Running","OK","TRUE","FALSE","659 456","94 208","0","30.05.2022 20:02:54","C:\WINDOWS\system32\DriverStore\FileRepository\intcbtau.inf_amd64_50d2fa7560d030fc\IntcBTAu.sys","4 096"
"IntcDMic","Технология IntelR Smart Sound для цифровых микрофонов","Технология IntelR Smart Sound для цифровых микрофонов","Kernel ","Manual","Running","OK","TRUE","FALSE","561 152","81 920","0","30.05.2022 20:02:53","C:\WINDOWS\system32\DriverStore\FileRepository\intcdmic.inf_amd64_c6097727a94da534\IntcDMic.sys","4 096"
"IntcOED","IntelR Smart Sound Technology - OED","IntelR Smart Sound Technology - OED","Kernel ","Manual","Running","OK","TRUE","FALSE","548 864","475 136","0","30.05.2022 20:04:20","C:\WINDOWS\system32\DriverStore\FileRepository\intcoed.inf_amd64_06dd582276d3f601\IntcOED.sys","4 096"
"IntcUSB","Технология IntelR Smart Sound для аудио USB","Технология IntelR Smart Sound для аудио USB","Kernel ","Manual","Running","OK","TRUE","FALSE","679 936","90 112","0","30.05.2022 20:03:29","C:\WINDOWS\system32\DriverStore\FileRepository\intcusb.inf_amd64_d97909364d9908a5\IntcUSB.sys","4 096"
"IntelGNA","Intel(R) GNA Scoring Accelerator service","Intel(R) GNA Scoring Accelerator service","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","40 960","0","14.09.2021 13:54:31","C:\WINDOWS\system32\DriverStore\FileRepository\gna.inf_amd64_19ceb7ce67a7cf8b\gna.sys","4 096"
"intelide","intelide","intelide","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","12 288","0","","C:\WINDOWS\system32\drivers\intelide.sys","4 096"
"intelpep","Драйвер подключаемого модуля управления питанием Intel(R)","Драйвер подключаемого модуля управления питанием Intel(R)","Kernel ","Boot","Running","OK","TRUE","FALSE","49 152","81 920","0","","C:\WINDOWS\system32\drivers\intelpep.sys","4 096"
"intelpmax","Драйвер диспетчера Intel(R) Dynamic Device Peak Power Manager","Драйвер диспетчера Intel(R) Dynamic Device Peak Power Manager","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","16 384","0","","C:\WINDOWS\system32\drivers\intelpmax.sys","4 096"
"IntelPMT","Служба технологии мониторинга платформы Intel(R)","Служба технологии мониторинга платформы Intel(R)","Kernel ","Boot","Running","OK","TRUE","FALSE","16 384","16 384","0","","C:\WINDOWS\system32\drivers\IntelPMT.sys","4 096"
"intelppm","Драйвер Intel процессора","Драйвер Intel процессора","Kernel ","Manual","Running","OK","TRUE","FALSE","139 264","69 632","0","","C:\WINDOWS\system32\drivers\intelppm.sys","12 288"
"iorate","Драйвер фильтра скорости ввода-вывода диска","Драйвер фильтра скорости ввода-вывода диска","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","36 864","0","","C:\WINDOWS\system32\drivers\iorate.sys","4 096"
"IpFilterDriver","Драйвер фильтра IP-трафика","Драйвер фильтра IP-трафика","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","69 632","0","","C:\WINDOWS\system32\DRIVERS\ipfltdrv.sys","4 096"
"ipf_acpi","ipf_acpi","ipf_acpi","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","40 960","0","15.12.2021 1:15:50","C:\WINDOWS\system32\DriverStore\FileRepository\ipf_acpi.inf_amd64_de6ec16890c1b449\ipf_acpi.sys","4 096"
"ipf_cpu","ipf_cpu","ipf_cpu","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","36 864","0","15.12.2021 1:15:50","C:\WINDOWS\system32\DriverStore\FileRepository\ipf_cpu.inf_amd64_e6050705c26c770f\ipf_cpu.sys","4 096"
"ipf_lf","ipf_lf","ipf_lf","Kernel ","Manual","Running","OK","TRUE","FALSE","49 152","327 680","0","15.12.2021 1:16:02","C:\WINDOWS\system32\DriverStore\FileRepository\ipf_cpu.inf_amd64_e6050705c26c770f\ipf_lf.sys","4 096"
"IPMIDRV","IPMIDRV","IPMIDRV","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28 672","57 344","0","","C:\WINDOWS\system32\drivers\IPMIDrv.sys","4 096"
"IPNAT","IP Network Address Translator","IP Network Address Translator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","188 416","0","","C:\WINDOWS\system32\drivers\ipnat.sys","4 096"
"IPT","IPT","IPT","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32 768","12 288","0","","C:\WINDOWS\system32\drivers\ipt.sys","4 096"
"isapnp","isapnp","isapnp","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\isapnp.sys","4 096"
"iScsiPrt","Драйвер iScsiPort","Драйвер iScsiPort","Kernel ","Manual","Stopped","OK","FALSE","FALSE","53 248","200 704","0","","C:\WINDOWS\system32\drivers\msiscsi.sys","4 096"
"ItSas35i","ItSas35i","ItSas35i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","159 744","0","01.03.2021 13:15:20","C:\WINDOWS\system32\drivers\ItSas35i.sys","4 096"
"kbdclass","Драйвер класса клавиатуры","Драйвер класса клавиатуры","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","32 768","0","","C:\WINDOWS\system32\drivers\kbdclass.sys","4 096"
"kbdhid","Драйвер клавиатуры HID","Драйвер клавиатуры HID","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","32 768","0","","C:\WINDOWS\system32\drivers\kbdhid.sys","4 096"
"kbldfltr","kbldfltr","kbldfltr","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\drivers\kbldfltr.sys","4 096"
"kdnic","Мини-порт сетевого адаптера с отладкой ядра (Майкрософт)","Мини-порт сетевого адаптера с отладкой ядра (Майкрософт)","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","20 480","0","","C:\WINDOWS\system32\drivers\kdnic.sys","4 096"
"kdnic_legacy","Мини-порт сетевого адаптера с отладкой ядра (Майкрософт) (NDIS 6.20)","Мини-порт сетевого адаптера с отладкой ядра (Майкрософт) (NDIS 6.20)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\drivers\kdnic_legacy.sys","4 096"
"KSecDD","KSecDD","KSecDD","Kernel ","Boot","Running","OK","TRUE","FALSE","45 056","69 632","0","","C:\WINDOWS\system32\Drivers\ksecdd.sys","4 096"
"KSecPkg","KSecPkg","KSecPkg","Kernel ","Boot","Running","OK","TRUE","FALSE","73 728","69 632","0","","C:\WINDOWS\system32\Drivers\ksecpkg.sys","4 096"
"ksthunk","Kernel Streaming Thunks","Kernel Streaming Thunks","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","20 480","0","","C:\WINDOWS\system32\drivers\ksthunk.sys","4 096"
"lltdio","Ответчик обнаружения топологии канального уровня","Ответчик обнаружения топологии канального уровня","Kernel ","Auto","Running","OK","TRUE","FALSE","8 192","49 152","0","","C:\WINDOWS\system32\drivers\lltdio.sys","8 192"
"LSI_SAS","LSI_SAS","LSI_SAS","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","90 112","0","25.03.2015 22:36:48","C:\WINDOWS\system32\drivers\lsi_sas.sys","4 096"
"LSI_SAS2i","LSI_SAS2i","LSI_SAS2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","98 304","0","02.08.2017 16:29:59","C:\WINDOWS\system32\drivers\lsi_sas2i.sys","4 096"
"LSI_SAS3i","LSI_SAS3i","LSI_SAS3i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","114 688","0","21.08.2020 10:33:28","C:\WINDOWS\system32\drivers\lsi_sas3i.sys","4 096"
"luafv","Виртуализация файла контроля учетных записей","Виртуализация файла контроля учетных записей","File System ","Auto","Running","OK","TRUE","FALSE","77 824","16 384","0","","C:\WINDOWS\system32\drivers\luafv.sys","12 288"
"mausbhost","Драйвер хост-контроллера MA-USB","Драйвер хост-контроллера MA-USB","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","323 584","0","","C:\WINDOWS\system32\drivers\mausbhost.sys","4 096"
"mausbip","Драйвер IP-фильтр MA-USB","Драйвер IP-фильтр MA-USB","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","45 056","0","","C:\WINDOWS\system32\drivers\mausbip.sys","4 096"
"MbbCx","MBB Network Adapter Class Extension","MBB Network Adapter Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","299 008","0","","C:\WINDOWS\system32\drivers\MbbCx.sys","4 096"
"megasas2i","megasas2i","megasas2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","61 440","0","22.01.2020 12:57:48","C:\WINDOWS\system32\drivers\MegaSas2i.sys","4 096"
"megasas35i","megasas35i","megasas35i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","77 824","0","12.01.2021 10:59:10","C:\WINDOWS\system32\drivers\megasas35i.sys","4 096"
"megasr","megasr","megasr","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","434 176","0","04.06.2013 1:02:39","C:\WINDOWS\system32\drivers\megasr.sys","4 096"
"MEIx64","Intel(R) Management Engine Interface ","Intel(R) Management Engine Interface ","Kernel ","Manual","Running","OK","TRUE","FALSE","20 480","241 664","0","30.09.2022 1:15:34","C:\WINDOWS\system32\DriverStore\FileRepository\heci.inf_amd64_233f304c63bedbe1\x64\TeeDriverW10x64.sys","4 096"
"Microsoft_Bluetooth_AvrcpTransport","Драйвер транспорта AVRCP Microsoft Bluetooth","Драйвер транспорта AVRCP Microsoft Bluetooth","Kernel ","Manual","Running","OK","TRUE","FALSE","28 672","45 056","0","","C:\WINDOWS\system32\drivers\Microsoft.Bluetooth.AvrcpTransport.sys","4 096"
"mlx4_bus","Mellanox ConnectX Bus Enumerator","Mellanox ConnectX Bus Enumerator","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","880 640","0","19.06.2019 16:21:08","C:\WINDOWS\system32\drivers\mlx4_bus.sys","8 192"
"MMCSS","Multimedia Class Scheduler","Multimedia Class Scheduler","Kernel ","Auto","Running","OK","TRUE","FALSE","12 288","24 576","0","","C:\WINDOWS\system32\drivers\mmcss.sys","8 192"
"Modem","Modem","Modem","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32 768","12 288","0","","C:\WINDOWS\system32\drivers\modem.sys","4 096"
"monitor","Microsoft Monitor Class Function Driver Service","Microsoft Monitor Class Function Driver Service","Kernel ","Manual","Running","OK","TRUE","FALSE","40 960","28 672","0","","C:\WINDOWS\system32\drivers\monitor.sys","4 096"
"mouclass","Драйвер класса мыши","Драйвер класса мыши","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","32 768","0","","C:\WINDOWS\system32\drivers\mouclass.sys","4 096"
"mouhid","Драйвер мыши HID","Драйвер мыши HID","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","24 576","0","","C:\WINDOWS\system32\drivers\mouhid.sys","4 096"
"mountmgr","Диспетчер точек подключения","Диспетчер точек подключения","Kernel ","Boot","Running","OK","TRUE","FALSE","69 632","16 384","0","","C:\WINDOWS\system32\drivers\mountmgr.sys","4 096"
"mpi3drvi","mpi3drvi","mpi3drvi","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","69 632","0","17.11.2021 1:22:38","C:\WINDOWS\system32\drivers\mpi3drvi.sys","4 096"
"mpsdrv","Windows Defender Firewall Authorization Driver","Windows Defender Firewall Authorization Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","65 536","0","","C:\WINDOWS\system32\drivers\mpsdrv.sys","4 096"
"MRxDAV","Драйвер перенаправителя клиентов WebDav","Драйвер перенаправителя клиентов WebDav","File System ","Manual","Stopped","OK","FALSE","FALSE","114 688","32 768","0","","C:\WINDOWS\system32\drivers\mrxdav.sys","4 096"
"mrxsmb","Оболочка и модуль мини-перенаправителя SMB","Оболочка и модуль мини-перенаправителя SMB","File System ","Manual","Running","OK","TRUE","FALSE","90 112","397 312","0","","C:\WINDOWS\system32\DRIVERS\mrxsmb.sys","4 096"
"mrxsmb20","Мини-перенаправитель SMB 2.0","Мини-перенаправитель SMB 2.0","File System ","Manual","Running","OK","TRUE","FALSE","28 672","249 856","0","","C:\WINDOWS\system32\DRIVERS\mrxsmb20.sys","4 096"
"MsBridge","MAC-мост (Майкрософт)","MAC-мост (Майкрософт)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","94 208","0","","C:\WINDOWS\system32\drivers\bridge.sys","4 096"
"Msfs","Msfs","Msfs","File System ","System","Running","OK","TRUE","FALSE","28 672","8 192","0","","C:\WINDOWS\system32\drivers\Msfs.sys","4 096"
"msgpiowin32","Общий драйвер для кнопок, режима подставки и индикатора ноутбука/планшета","Общий драйвер для кнопок, режима подставки и индикатора ноутбука/планшета","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20 480","24 576","0","","C:\WINDOWS\system32\drivers\msgpiowin32.sys","4 096"
"mshidkmdf","Pass-through HID to KMDF Filter Driver","Pass-through HID to KMDF Filter Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\mshidkmdf.sys","4 096"
"mshidumdf","Сквозной драйвер HID-UMDF","Сквозной драйвер HID-UMDF","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\mshidumdf.sys","4 096"
"MSIO","MSIO","MSIO","Kernel ","System","Running","OK","TRUE","FALSE","0","4 096","0","11.12.2023 9:39:57","\??\C:\WINDOWS\system32\drivers\MsIo64.sys","4 096"
"msisadrv","msisadrv","msisadrv","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\msisadrv.sys","4 096"
"MSKSSRV","Представитель служб потоков Microsoft","Представитель служб потоков Microsoft","Kernel ","Manual","Running","OK","TRUE","FALSE","20 480","16 384","0","","C:\WINDOWS\system32\drivers\MSKSSRV.sys","4 096"
"MsLldp","Протокол Microsoft LLDP","Протокол Microsoft LLDP","Kernel ","Auto","Running","OK","TRUE","FALSE","20 480","28 672","0","","C:\WINDOWS\system32\drivers\mslldp.sys","4 096"
"MSPCLOCK","Посредник синхронизации потоков Microsoft","Посредник синхронизации потоков Microsoft","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","4 096","0","","C:\WINDOWS\system32\drivers\MSPCLOCK.sys","4 096"
"MSPQM","Представитель диспетчера качества потоков Microsoft","Представитель диспетчера качества потоков Microsoft","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","4 096","0","","C:\WINDOWS\system32\drivers\MSPQM.sys","4 096"
"MsQuic","MsQuic","MsQuic","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","307 200","0","","C:\WINDOWS\system32\drivers\msquic.sys","4 096"
"MsQuicPrev","MSQUIC","MSQUIC","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","294 912","0","","C:\WINDOWS\system32\drivers\msquicprev.sys","4 096"
"MsRPC","MsRPC","MsRPC","Kernel ","Manual","Stopped","OK","FALSE","FALSE","266 240","12 288","0","","C:\WINDOWS\system32\drivers\MsRPC.sys","4 096"
"MsSecCore","Драйвер загрузки ядра Microsoft Security","Драйвер загрузки ядра Microsoft Security","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\drivers\msseccore.sys","4 096"
"MsSecFlt","Мини-фильтр компонента событий безопасности Майкрософт","Мини-фильтр компонента событий безопасности Майкрософт","Kernel ","Manual","Stopped","OK","FALSE","FALSE","139 264","69 632","0","","C:\WINDOWS\system32\drivers\mssecflt.sys","12 288"
"MsSecWfp","Драйвер вызова Microsoft Security WFP","Драйвер вызова Microsoft Security WFP","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","8 192","0","","C:\WINDOWS\system32\drivers\mssecwfp.sys","4 096"
"mssmbios","Драйвер Microsoft System Management BIOS","Драйвер Microsoft System Management BIOS","Kernel ","System","Running","OK","TRUE","FALSE","8 192","20 480","0","","C:\WINDOWS\system32\drivers\mssmbios.sys","4 096"
"MSTEE","Преобразователь потоков Tee/Sink-to-Sink Microsoft","Преобразователь потоков Tee/Sink-to-Sink Microsoft","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","8 192","0","","C:\WINDOWS\system32\drivers\MSTEE.sys","4 096"
"MTConfig","Microsoft Input Configuration Driver","Microsoft Input Configuration Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\drivers\MTConfig.sys","4 096"
"Mup","Mup","Mup","File System ","Boot","Running","OK","TRUE","FALSE","73 728","24 576","0","","C:\WINDOWS\system32\Drivers\mup.sys","4 096"
"mvumis","mvumis","mvumis","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","20 480","0","23.05.2014 23:39:04","C:\WINDOWS\system32\drivers\mvumis.sys","4 096"
"NahimicBTLink","Nahimic Easy Surround device - Driver","Nahimic Easy Surround device - Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","24 576","24 576","0","18.08.2022 11:33:52","C:\WINDOWS\system32\drivers\NahimicBTLink.sys","4 096"
"Nahimic_Mirroring","Nahimic mirroring device - Driver","Nahimic mirroring device - Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","24 576","24 576","0","18.08.2022 11:28:44","C:\WINDOWS\system32\drivers\Nahimic_Mirroring.sys","4 096"
"NativeWifiP","Фильтр NativeWiFi","Фильтр NativeWiFi","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","638 976","0","","C:\WINDOWS\system32\DRIVERS\nwifi.sys","4 096"
"ndfltr","NetworkDirect Service","NetworkDirect Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","118 784","0","19.06.2019 16:18:42","C:\WINDOWS\system32\drivers\ndfltr.sys","4 096"
"NDIS","Системный драйвер NDIS","Системный драйвер NDIS","Kernel ","Boot","Running","OK","TRUE","FALSE","331 776","1 024 000","0","","C:\WINDOWS\system32\drivers\ndis.sys","16 384"
"NdisCap","Захват Microsoft NDIS","Захват Microsoft NDIS","Kernel ","System","Running","OK","TRUE","FALSE","0","32 768","0","","C:\WINDOWS\system32\drivers\ndiscap.sys","4 096"
"NdisImPlatform","Протокол мультиплексора сетевого адаптера (Майкрософт)","Протокол мультиплексора сетевого адаптера (Майкрософт)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","94 208","0","","C:\WINDOWS\system32\drivers\NdisImPlatform.sys","4 096"
"NdisTapi","NDIS-драйвер TAPI удаленного доступа","NDIS-драйвер TAPI удаленного доступа","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","16 384","0","","C:\WINDOWS\system32\DRIVERS\ndistapi.sys","4 096"
"Ndisuio","NDIS Usermode I/O Protocol","NDIS Usermode I/O Protocol","Kernel ","Manual","Running","OK","TRUE","FALSE","16 384","40 960","0","","C:\WINDOWS\system32\drivers\ndisuio.sys","4 096"
"NdisVirtualBus","Перечислитель виртуальных сетевых адаптеров (Майкрософт)","Перечислитель виртуальных сетевых адаптеров (Майкрософт)","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\NdisVirtualBus.sys","4 096"
"NdisWan","NDIS-драйвер глобальной сети для удаленного доступа","NDIS-драйвер глобальной сети для удаленного доступа","Kernel ","Manual","Running","OK","TRUE","FALSE","81 920","94 208","0","","C:\WINDOWS\system32\drivers\ndiswan.sys","8 192"
"ndiswanlegacy","Устаревшая версия NDIS-драйвера глобальной сети для удаленного доступа","Устаревшая версия NDIS-драйвера глобальной сети для удаленного доступа","Kernel ","Manual","Stopped","OK","FALSE","FALSE","81 920","94 208","0","","C:\WINDOWS\system32\DRIVERS\ndiswan.sys","8 192"
"NDKPerf","NDKPerf Driver","NDKPerf Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","24 576","0","","C:\WINDOWS\system32\drivers\NDKPerf.sys","4 096"
"NDKPing","NDKPing Driver","NDKPing Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20 480","36 864","0","","C:\WINDOWS\system32\drivers\NDKPing.sys","4 096"
"ndproxy","NDIS Proxy Driver","NDIS Proxy Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","45 056","36 864","0","","C:\WINDOWS\system32\DRIVERS\NDProxy.sys","4 096"
"Ndu","Windows Network Data Usage Monitoring Driver","Windows Network Data Usage Monitoring Driver","Kernel ","Auto","Running","OK","TRUE","FALSE","8 192","73 728","0","","C:\WINDOWS\system32\drivers\Ndu.sys","4 096"
"NetAdapterCx","Network Adapter WDF Class Extension Library","Network Adapter WDF Class Extension Library","Kernel ","Manual","Running","OK","TRUE","FALSE","24 576","266 240","0","","C:\WINDOWS\system32\drivers\netadaptercx.sys","4 096"
