"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"arcsas","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Adaptec SAS/SATA-II RAID Storport's Miniport Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","110 592","0","09.04.2015 22:12:07","C:\WINDOWS\system32\drivers\arcsas.sys","4 096"
"AsyncMac","Драйвер асинхронного носителя RAS","Драйвер асинхронного носителя RAS","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","24 576","0","","C:\WINDOWS\system32\drivers\asyncmac.sys","4 096"
"atapi","Канал IDE","Канал IDE","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","20 480","0","","C:\WINDOWS\system32\drivers\atapi.sys","4 096"
"b06bdrv","QLogic Network Adapter VBD","QLogic Network Adapter VBD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","221 184","0","25.05.2016 10:03:08","C:\WINDOWS\system32\drivers\bxvbda.sys","4 096"
"bam","Background Activity Moderator Driver","Background Activity Moderator Driver","Kernel ","System","Running","OK","TRUE","FALSE","49 152","16 384","0","","C:\WINDOWS\system32\drivers\bam.sys","4 096"
"BasicDisplay","BasicDisplay","BasicDisplay","Kernel ","System","Running","OK","TRUE","FALSE","45 056","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\basicdisplay.inf_amd64_2753efdbb0d9a226\BasicDisplay.sys","4 096"
"BasicRender","BasicRender","BasicRender","Kernel ","System","Running","OK","TRUE","FALSE","4 096","36 864","0","","C:\WINDOWS\system32\DriverStore\FileRepository\basicrender.inf_amd64_59b5b93ba07057a4\BasicRender.sys","4 096"
"bcmfn2","bcmfn2 Service","bcmfn2 Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","4 096","0","01.11.2016 5:09:15","C:\WINDOWS\system32\drivers\bcmfn2.sys","4 096"
"Beep","Beep","Beep","Kernel ","System","Running","OK","TRUE","FALSE","0","4 096","0","","C:\WINDOWS\system32\drivers\Beep.sys","4 096"
"bfs","Файловая система посредника","Файловая система посредника","File System ","Auto","Running","OK","TRUE","FALSE","4 096","81 920","0","","C:\WINDOWS\system32\drivers\bfs.sys","4 096"
"bindflt","Windows Bind Filter Driver","Windows Bind Filter Driver","File System ","Auto","Running","OK","TRUE","FALSE","98 304","32 768","0","","C:\WINDOWS\system32\drivers\bindflt.sys","4 096"
"bowser","Браузер","Браузер","File System ","Manual","Running","OK","TRUE","FALSE","77 824","32 768","0","","C:\WINDOWS\system32\DRIVERS\bowser.sys","4 096"
"BthA2dp","Microsoft Bluetooth A2dp driver","Microsoft Bluetooth A2dp driver","Kernel ","Manual","Running","OK","TRUE","FALSE","81 920","380 928","0","","C:\WINDOWS\system32\drivers\BthA2dp.sys","4 096"
"BthEnum","Служба перечислителя Bluetooth","Служба перечислителя Bluetooth","Kernel ","Manual","Running","OK","TRUE","FALSE","32 768","36 864","0","","C:\WINDOWS\system32\drivers\BthEnum.sys","4 096"
"BthHFAud","Драйвер звука гарнитуры Microsoft Bluetooth","Драйвер звука гарнитуры Microsoft Bluetooth","Kernel ","Manual","Running","OK","TRUE","FALSE","24 576","45 056","0","","C:\WINDOWS\system32\drivers\BthHfAud.sys","4 096"
"BthHFEnum","Драйвер профиля гарнитуры Microsoft Bluetooth","Драйвер профиля гарнитуры Microsoft Bluetooth","Kernel ","Manual","Running","OK","TRUE","FALSE","32 768","106 496","0","","C:\WINDOWS\system32\drivers\bthhfenum.sys","4 096"
